,zip_code,transaction_amount,unix_time,is_fraud
0,78129,713.806091910948,1701910509,0
1,23591,142.66561482308546,1697154909,0
2,99238,371.63483460052373,1685750109,0
3,81115,307.44662811409665,1713052089,1
4,36052,345.188974545186,1695513309,0
5,22012,234.99441703462026,1706835309,0
6,14850,41.351371332713086,1688601309,0
7,83381,19.710816267710623,1707440109,0
8,64389,423.83022114369123,1711760109,0
9,54153,110.81046855239397,1708908909,0
10,35439,752.9142209851319,1690934109,0
11,41928,8.210335759832935,1688514909,0
12,16424,82.66698854305768,1688428509,0
13,36433,25.115099020048955,1690329309,0
14,84875,207.00613008056303,1687132509,0
15,42586,12.128642420319624,1709945709,0
16,92721,281.64121945625413,1703984109,0
17,87285,11.805467972570394,1689206109,0
18,14824,239.06049453741102,1685404509,0
19,12492,126.47143370091696,1702774509,0
20,50391,356.75845162853096,1689638109,0
21,57374,201.38491195917177,1694130909,0
22,19536,72.1344564781332,1683762909,0
23,45695,389.573572092935,1694476509,0
24,48562,63.69368521247036,1700787309,0
25,78755,15.23292128613836,1702083309,0
26,22912,65.65044111262215,1700873709,0
27,34443,1.3778529859398578,1688082909,0
28,66894,30.39951844513349,1689638109,0
29,40463,213.82434994446842,1682639709,0
30,83534,200.05387224221184,1685318109,0
31,18895,64.37255901925028,1682121309,0
32,37065,540.0614695616538,1713048969,1
33,58507,80.16572799292251,1693180509,0
34,37892,9.829205349411545,1704329709,0
35,58900,2636.0,1712274909,1
36,87608,336.82599250407696,1697327709,0
37,33100,354.7400994245821,1691538909,0
38,70502,63.73586675498996,1712793309,0
39,58798,889.2064562634288,1681602909,0
40,76100,172.85045662480795,1710032109,0
41,87228,105.77999782427197,1709427309,0
42,48006,189.75003026625728,1706489709,0
43,51470,84.42564320015603,1682034909,0
44,45764,34.81613185330191,1701824109,0
45,30183,161.5401528781866,1703897709,0
46,15241,23.35579140208095,1707094509,0
47,95553,822.3702157061691,1705280109,0
48,58604,131.101364733449,1683417309,0
49,41204,47.315674489495784,1683762909,0
50,90370,12.67096983323067,1700096109,0
51,44333,17.035943906460876,1686182109,0
52,56322,74.616012234502,1704848109,0
53,37861,158.32065717758294,1699404909,0
54,13875,6.271769634019691,1707440109,0
55,32098,22.48636503510713,1695340509,0
56,67516,295.9405946294458,1713050589,1
57,67961,145.3876436129718,1690156509,0
58,57247,196.5498191105425,1697500509,0
59,76051,107.48882675012406,1686527709,0
60,42513,237.37752623834342,1694649309,0
61,54106,449.3795428519847,1706835309,0
62,98358,46.55544716357437,1708390509,0
63,35400,12.656943758272162,1711587309,0
64,62401,250.5888123340303,1702342509,0
65,76945,186.16610066056023,1689378909,0
66,56191,268.1152721409539,1713050229,1
67,87493,9.719131350663805,1686873309,0
68,87933,13.95323962490332,1701824109,0
69,60787,1221.0082158242749,1690674909,0
70,71758,73.07127910522466,1698105309,0
71,87179,2636.0,1712274909,1
72,36546,184.50058658017733,1709168109,0
